iter	Logloss
0	0.6830398233
1	0.6730395333
2	0.6639669549
3	0.6554548565
4	0.6468819107
5	0.6385061698
6	0.6317543363
7	0.6244364245
8	0.617823061
9	0.6114974205
10	0.6051070254
11	0.5988789365
12	0.5933884769
13	0.5884049139
14	0.5837853812
15	0.5788918834
16	0.5753497828
17	0.5712531881
18	0.5672557474
19	0.5633957866
20	0.5601621006
21	0.5565249499
22	0.5534724995
23	0.5507162953
24	0.5478038246
25	0.5448731377
26	0.5423187956
27	0.5406674278
28	0.538280472
29	0.5356237258
30	0.5333961373
31	0.5315128993
32	0.5294293315
33	0.5271763878
34	0.5253918656
35	0.5232482388
36	0.5214553546
37	0.5196848567
38	0.5179633174
39	0.5166180084
40	0.5148617279
41	0.5131364011
42	0.5116073132
43	0.5102739582
44	0.5086231652
45	0.5073672439
46	0.5061009221
47	0.5053401041
48	0.5039738872
49	0.5026476387
50	0.5012672273
51	0.500120223
52	0.4988526276
53	0.4976777861
54	0.4967854148
55	0.4956256398
56	0.4946605129
57	0.4939837214
58	0.4930403851
59	0.4920892849
60	0.4910508642
61	0.4903348151
62	0.4895089221
63	0.4887276286
64	0.4880337963
65	0.4872323857
66	0.4866114287
67	0.4860160005
68	0.4852647157
69	0.4844324522
70	0.4837174598
71	0.4829678302
72	0.4822082412
73	0.4815227889
74	0.4808341416
75	0.4802197511
76	0.4795325175
77	0.4788373882
78	0.4782801803
79	0.4777608837
80	0.4770341936
81	0.4765746666
82	0.4760945321
83	0.4755618215
84	0.4749382865
85	0.4744464995
86	0.4738582607
87	0.4732848768
88	0.4727567752
89	0.4724428364
90	0.4720399377
91	0.4716765751
92	0.4711610958
93	0.4707668835
94	0.4701852536
95	0.469829926
96	0.4691979675
97	0.4686316813
98	0.4681792955
99	0.4678376825
100	0.4674688646
101	0.467123721
102	0.4668020119
103	0.4663175113
104	0.4659332945
105	0.4655175347
106	0.4651549946
107	0.464835635
108	0.4645432142
109	0.4642174404
110	0.4639190141
111	0.4634865376
112	0.4631691175
113	0.4628546646
114	0.462483363
115	0.4622838412
116	0.4619585471
117	0.4615146951
118	0.4612854592
119	0.4607888716
120	0.4603437641
121	0.4599731115
122	0.4597004143
123	0.4595598027
124	0.4593643309
125	0.4589416111
126	0.4586297131
127	0.4583841507
128	0.4580723051
129	0.4578224237
130	0.4575002439
131	0.4572232176
132	0.4569709077
133	0.4568260788
134	0.4565078776
135	0.4560723655
136	0.455866973
137	0.4555874395
138	0.4553073121
139	0.4549826274
140	0.4547075738
141	0.4543906135
142	0.4541786203
143	0.4539856688
144	0.4536942618
145	0.4533918533
146	0.453033435
147	0.4528877981
148	0.4526944427
149	0.4525058961
150	0.4524454304
151	0.4521019236
152	0.4516991843
153	0.4513775295
154	0.4510386167
155	0.4507970545
156	0.4503767443
157	0.4501376998
158	0.4499603203
159	0.4499596293
160	0.4497987668
161	0.4495257237
162	0.4492323765
163	0.449030583
164	0.4487707448
165	0.4486296226
166	0.4485327159
167	0.4483858556
168	0.4482303041
169	0.448074671
170	0.4478406621
171	0.4476458794
172	0.4474605556
173	0.4472214369
174	0.4472031364
175	0.4471448683
176	0.4469320846
177	0.4469229135
178	0.4467172438
179	0.4464747985
180	0.4461772568
181	0.4457963184
182	0.4455923578
183	0.4454430746
184	0.4451937932
185	0.4450033586
186	0.4447872966
187	0.4446131471
188	0.4442806184
189	0.4441068662
190	0.4439338423
191	0.4436274814
192	0.4433215264
193	0.4431033386
194	0.442938823
195	0.4426530077
196	0.4424332965
197	0.4422955961
198	0.4421295936
199	0.4419445281
200	0.4417113479
201	0.441392781
202	0.4410995643
203	0.4410011023
204	0.4407940733
205	0.4404979634
206	0.4402373927
207	0.4400545142
208	0.4397506289
209	0.4394052065
210	0.4392198759
211	0.4390534783
212	0.4389161189
213	0.438690539
214	0.4385003744
215	0.4382604547
216	0.4380306267
217	0.4378932222
218	0.4377436157
219	0.4375334023
220	0.4373225713
221	0.4370567682
222	0.4369050995
223	0.4367057977
224	0.4365767422
225	0.4363758192
226	0.4360655313
227	0.4359294211
228	0.4358049915
229	0.4355681703
230	0.4353544212
231	0.4353536514
232	0.4351828411
233	0.4348715802
234	0.4346816245
235	0.4344077172
236	0.4341132271
237	0.4339400801
238	0.4337267607
239	0.4333341383
240	0.4331933343
241	0.4329440009
242	0.4328202584
243	0.4326771026
244	0.4325474624
245	0.4323116137
246	0.4321815696
247	0.4320591103
248	0.4319683808
249	0.431825049
250	0.4314771006
251	0.4313349242
252	0.431143595
253	0.4310367929
254	0.4308118964
255	0.4306665417
256	0.4305398867
257	0.4304117906
258	0.4303001966
259	0.4301156104
260	0.4299747482
261	0.4297823679
262	0.4296560291
263	0.4296506406
264	0.429286358
265	0.4292044521
266	0.4290184552
267	0.428752678
268	0.4286123203
269	0.4284341192
270	0.4283083448
271	0.4281770566
272	0.428042886
273	0.4278950219
274	0.4277672335
275	0.4276504417
276	0.4274159283
277	0.4271792877
278	0.4270506725
279	0.4268389614
280	0.4267468747
281	0.4266627194
282	0.4265445801
283	0.4264485788
284	0.4262666239
285	0.426079621
286	0.4258842658
287	0.4256754163
288	0.4255706476
289	0.4255609112
290	0.4253893882
291	0.4252380352
292	0.4251323033
293	0.4249960226
294	0.424946866
295	0.4246537598
296	0.4244762516
297	0.424475698
298	0.4243319591
299	0.424037258
300	0.4239884592
301	0.4239881417
302	0.4237719585
303	0.423506719
304	0.4231939734
305	0.423109554
306	0.4230306378
307	0.4228490821
308	0.4226150244
309	0.4225187908
310	0.4224042129
311	0.4220641399
312	0.4218097847
313	0.4216841625
314	0.4215698592
315	0.4213598207
316	0.421225306
317	0.4210896265
318	0.4209021231
319	0.4206751914
320	0.4204191727
321	0.4202207467
322	0.4200107491
323	0.4198141075
324	0.4196107106
325	0.4195152191
326	0.4191956593
327	0.4190533542
328	0.418909946
329	0.4186683281
330	0.4184880121
331	0.4183550588
332	0.4182890713
333	0.4181594492
334	0.4180808804
335	0.4179240412
336	0.4176620057
337	0.4176201424
338	0.4174790371
339	0.4172294717
340	0.417062169
341	0.4169703651
342	0.4169082092
343	0.4167811627
344	0.4166449984
345	0.4164659896
346	0.4162195105
347	0.4159875381
348	0.4158519636
349	0.4155954209
350	0.4154816769
351	0.4152750821
352	0.415141183
353	0.4150400199
354	0.41489068
355	0.414832827
356	0.4148044888
357	0.4146855082
358	0.4144951577
359	0.414440014
360	0.4142353435
361	0.4140850161
362	0.4139753804
363	0.4137315351
364	0.4135993323
365	0.4133625149
366	0.4132599703
367	0.41306327
368	0.4129445278
369	0.4127549911
370	0.4126957995
371	0.4126035747
372	0.4123957448
373	0.4121828996
374	0.4120491599
375	0.4118964911
376	0.4116861807
377	0.4116132153
378	0.4114619525
379	0.4113374966
380	0.411060604
381	0.4109055536
382	0.4105580771
383	0.4102881092
384	0.4102128727
385	0.4100601188
386	0.4099943188
387	0.4098945882
388	0.4097017041
389	0.4095531655
390	0.4093857959
391	0.4091672372
392	0.4089919877
393	0.4088020302
394	0.4086895653
395	0.4085162015
396	0.4083210786
397	0.4081979322
398	0.4080774086
399	0.4078571533
400	0.4078130393
401	0.4076349348
402	0.4074862862
403	0.4072832208
404	0.4070870989
405	0.4069711883
406	0.406713904
407	0.4065217996
408	0.406339694
409	0.406248644
410	0.4060883671
411	0.4057709289
412	0.4053786346
413	0.4052388313
414	0.4051529301
415	0.404956356
416	0.4048691164
417	0.4047441825
418	0.4046140626
419	0.4045016761
420	0.4043921253
421	0.4042441734
422	0.4040333283
423	0.4038675304
424	0.4038002577
425	0.4037124929
426	0.4036080072
427	0.4034364266
428	0.4032266775
429	0.402994647
430	0.4028139418
431	0.4026863139
432	0.4025177992
433	0.4023758125
434	0.4021942676
435	0.4019878968
436	0.4017521346
437	0.4016492136
438	0.4015222222
439	0.4013271908
440	0.4011884828
441	0.4009427794
442	0.4008141204
443	0.400628849
444	0.400495799
445	0.4003011825
446	0.4001162284
447	0.3998738257
448	0.39967559
449	0.3995338158
450	0.3993107762
451	0.399193291
452	0.3989638228
453	0.3988540695
454	0.3987085575
455	0.3984691804
456	0.3982800809
457	0.3980880968
458	0.3978639884
459	0.3977014425
460	0.3975796046
461	0.3973231825
462	0.3972033831
463	0.3970131416
464	0.3968517996
465	0.3966946272
466	0.3965037361
467	0.3963511583
468	0.3961750105
469	0.3959764796
470	0.3958068092
471	0.3956972579
472	0.3955222188
473	0.3953513893
474	0.3952432315
475	0.3950558316
476	0.3948925349
477	0.3947347154
478	0.3945806358
479	0.3944688277
480	0.3942485721
481	0.3941382683
482	0.3940025698
483	0.3938600715
484	0.3937098183
485	0.3935635393
486	0.3934346936
487	0.3932842396
488	0.39314021
489	0.3930365247
490	0.3929059102
491	0.3927219202
492	0.3925200936
493	0.3923479434
494	0.3922155084
495	0.3920693685
496	0.3918999686
497	0.391741723
498	0.3915564368
499	0.3914174375
500	0.3912566762
501	0.3910594784
502	0.3908992188
503	0.3907436937
504	0.3905700057
505	0.3904061763
506	0.39022753
507	0.3900785078
508	0.3898806532
509	0.3897207874
510	0.389556347
511	0.3894188256
512	0.389264829
513	0.3891338948
514	0.3889617752
515	0.3888361124
516	0.3886811429
517	0.38852892
518	0.3883533236
519	0.3882478164
520	0.3880428966
521	0.3879379466
522	0.3877611397
523	0.3875547094
524	0.3873730538
525	0.3872283311
526	0.3871102997
527	0.3869627806
528	0.3868236487
529	0.3866880506
530	0.3865748011
531	0.3864545694
532	0.3862832224
533	0.386108763
534	0.3859688493
535	0.3858037329
536	0.3856505414
537	0.3855326906
538	0.3853504059
539	0.3852326253
540	0.3851020681
541	0.3849477676
542	0.3848590183
543	0.3847592078
544	0.3845476969
545	0.3844395063
546	0.3842686
547	0.384138778
548	0.3839589915
549	0.3838197813
550	0.3837012811
551	0.3835277671
552	0.3833554291
553	0.3832528125
554	0.3831538941
555	0.3829953602
556	0.3828596267
557	0.3827004236
558	0.3825880716
559	0.3824300442
560	0.3822949829
561	0.3822132088
562	0.3820073659
563	0.3819141472
564	0.381768111
565	0.3815915577
566	0.381440539
567	0.3812735184
568	0.3811635586
569	0.3810310473
570	0.3808791879
571	0.3807520526
572	0.380621186
573	0.3804877198
574	0.3803225463
575	0.3801718767
576	0.380026868
577	0.3799271695
578	0.379786842
579	0.3796770612
580	0.3795812356
581	0.3794217027
582	0.3792648302
583	0.3791264955
584	0.3790227407
585	0.3788672545
586	0.3787833585
587	0.3786517643
588	0.3784935976
589	0.3782688168
590	0.3780966668
591	0.3779402089
592	0.3778917822
593	0.3777275838
594	0.3775956044
595	0.3774834478
596	0.3773552896
597	0.3772217825
598	0.3771053495
599	0.3769491267
600	0.3768318274
601	0.3766657571
602	0.3765528108
603	0.3763930836
604	0.3762994294
605	0.3761820144
606	0.3760399375
607	0.3758444761
608	0.3757541262
609	0.3755848964
610	0.3754334388
611	0.3752980759
612	0.3751622605
